a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
aha 0.5.1-2
alacritty 0.13.1-1
alpm_octopi_utils 1.0.2-3.2
alsa-card-profiles 1:1.0.3-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.11-1
alsa-oss 1.1.8-5
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
ananicy-cpp 1.1.1-1
android-tools 34.0.4-3
android-udev 20231124-1
antimicrox 3.3.4-3.1
aom 3.8.1-1
appimagelauncher 2.2.0-6.5
appmenu-gtk-module 0.7.6-1
appstream 1.0.1-2
appstream-glib 0.8.2-3
appstream-qt5 1.0.1-2
apr 1.7.4-1
apr-util 1.6.3-1
archlinux-appstream-data 20240112-1
archlinux-keyring 20240208-1
argon2 20190702-5
argyllcms 3.1.0-1
aribb24 1.0.3-3
arj 3.10.22-13
ark 23.08.4-1
at-spi2-core 2.50.1-1
attica5 5.115.0-1
attr 2.5.2-1
audit 4.0-1
autoconf 2.72-1
automake 1.16.5-2
autorandr 1.14-1
avahi 1:0.8+r194+g3f79789-1
b43-fwcutter 019-4
baloo-widgets 23.08.4-1
baloo5 5.115.0-1
base 3-2
bash 5.2.026-2
bash-completion 2.11-3
bat 0.24.0-1
bcprov 1.73-1
beautyline 1:20230729-1
bind 9.18.21-1
binutils 2.42-2
bison 3.8.2-6
black-hole-solver 1.12.0-1
blas 3.12.0-3
bluedevil 1:5.27.10-3
bluetooth-support 1-7
bluez 5.72-2
bluez-hid2hci 5.72-2
bluez-libs 5.72-2
bluez-plugins 5.72-2
bluez-qt5 5.115.0-1
bluez-tools 0.2.0-5
bluez-utils 5.72-2
bolt 0.9.6-2
bomber 23.08.4-1
boost-libs 1.83.0-5
botan2 2.19.3-1
bottles 2:51.10-1
bovo 23.08.4-1
box2d 2.4.1-2
boxtron 0.5.4-1.6
breeze 5.27.10-1
breeze-icons 5.115.0-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.1.0-1
btrfs-assistant 1.9-1
btrfs-progs 6.7-1
btrfsmaintenance 0.5-2
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.97-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cachyos-ananicy-rules-git 20240211.r298.g64d6a5a-1
cairo 1.18.0-1
candy-icons-git r1118.252601a-1
cantarell-fonts 1:0.303.1-1
capstone 5.0.1-2
cblas 3.12.0-3
cdparanoia 10.2-9
cfitsio 1:4.3.1-1
chaotic-keyring 20230616-1
chaotic-kf5-dummy 5.150.0-1
chaotic-mirrorlist 20240130-1
chromaprint 1.5.1-7
chromium 121.0.6167.160-1
chromium-bsu 0.9.16.1-1
cifs-utils 7.0-3
ckbcomp 1.221-1
clinfo 3.0.21.02.21-1
clucene 2.3.3.4-14
confuse 3.3-3
convertlit 1.8-11
corectrl 1.3.10-1
coreutils 9.4-3
cpio 2.15-1
cryptsetup 2.7.0-1
curl 8.6.0-3
curlftpfs 0.9.2-8
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 2.1.3-1
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
dialog 1:1.3_20240101-1
diffutils 3.10-1
ding-libs 0.6.2-1
discord 0.0.42-1
discount 3.0.0.d-1
discover 5.27.10.1-1
displaycal 3.9.11-1
djvulibre 3.5.28-5
dkms 3.0.12-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dolphin 23.08.4-1
dolphin-plugins 23.08.4-1
dosbox 0.74.3-2
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
dracut 059-5
dtc 1.7.0-4
duktape 2.7.0-6
dxvk-mingw-git 2.3.r57.gab359318-1
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
ecryptfs-utils 111-8
editorconfig-core-c 0.12.6-1
edk2-ovmf 202311-1
efibootmgr 18-2
efivar 39-1
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
elisa 23.08.4-1
enchant 2.6.5-1
enet 1.3.17-1
espeak-ng 1.51.1-2
ethtool 1:6.5-1
exfatprogs 1.2.2-1
exiv2 0.28.1-1
expac 10-5
expat 2.6.0-1
expect 5.45.4-4
eza 0.18.2-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.33-2
fancontrol-gui-git 0.8.r23.g5bfa8fa-2
fastfetch 2.8.2-1
fatresize 1.1.0-1
faudio 24.02-1
ffmpeg 2:6.1.1-5
ffmpeg4.4 4.4.4-4
ffmpegthumbs 23.08.4-1
fftw 3.3.10-5
file 5.45-1
filesystem 2024.01.19-1
find-the-command-git 2.0.1.r0.gfecba1a-1.1
findutils 4.9.0-3
firedragon 1:11.9.0-4
firedragon-extension-plasma-integration 1.8.1-3.5
firewalld 2.1.1-1
fish 3.7.0-1
fish-autopair 1.0.4-1
flac 1.4.3-1
flashrom 1.2-4
flex 2.6.4-5
fluidsynth 2.3.4-1
fmt 10.2.0-1
fontconfig 2:2.15.0-2
fprintd 1.94.2-2
frameworkintegration5 5.115.0-1
freealut 1.1.0-8
freecell-solver 6.8.0-1
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fscrypt 0.3.4-1
ftgl 2.4.0-2
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fuseiso 20070708-8
fvs 0.3.4-2.1
fwupd 1.9.13-1
fwupd-efi 1.4-1
fzf 0.46.1-1
game-devices-udev 0.22-0.2
gamemode 1.8.1-2
garuda-assistant 2.7.6-1
garuda-bash-config 1.0.6-1
garuda-boot-options 1.0.4-1
garuda-browser-settings 1.2.4-1
garuda-common-settings 2.6.23-1
garuda-dr460nized 3.0.12-1
garuda-dracut-support 1.0.1-1
garuda-fish-config 1.5.23-1
garuda-gamer 1.1.9-1
garuda-hooks 2.10.2-1
garuda-hotfixes 1.1.2-1
garuda-icons r40.a0891d2-1
garuda-libs 1.4.6-1
garuda-migrations 2.5.2-1
garuda-network-assistant 1.1.3-1
garuda-nvidia-config 2:1.1.6-1
garuda-settings-manager 1.0.4-1
garuda-settings-manager-kcm 1.0.4-1
garuda-setup-assistant 3.1.11-1
